UniProtKB.AC	Ensembl
J3QL77	ENSG00000034152
Q6IAW5	
Q96B13	ENSG00000078304
A1L4E0	
B0V092	ENSG00000224180; ENSG00000223533; ENSG00000204536
B7Z1I9	ENSG00000182220
B7Z6B6	ENSG00000113761
D6RC73	ENSG00000151882
E5RFW2	ENSG00000165061
F2Z322	ENSG00000007392
F8SNU6	ENSG00000132323
F8WBX0	ENSG00000144306
H0Y6A5	ENSG00000163812; ENSG00000280674
H7C607	ENSG00000188243
J3QSH0	ENSG00000171916; ENSG00000284021
M0QXT4	ENSG00000196268
Q549H9	
A0A024QYY0	
A0A024R1N6	
A0A024R3F5	
A0A0X9TDD0	
A0A126GWT2	
B1A4G9	ENSG00000259384
B4DIW9	ENSG00000206560
B4DWF2	ENSG00000030419
E9PMJ3	ENSG00000023191; ENSG00000276230
E9PN18	ENSG00000179950; ENSG00000274081
H0YLF3	ENSG00000166710; ENSG00000273686
I3L3S9	ENSG00000103351
M0QZZ6	ENSG00000053501
Q08AS3	ENSG00000225890; ENSG00000236418
Q1RLN5	ENSG00000165322
Q53F96	
Q53Y25	
A0A024R0L9	
A0A024R2M8	
A0A024R474	
A0A024R858	
A0A024R9G3	
A3KLL5	
A6NIW5	ENSG00000167815
A9UJN3	ENSG00000101812
B4DEE2	ENSG00000100564
B4DJ42	ENSG00000160781
B4DKD2	ENSG00000073670
B7Z720	
B7ZVY7	ENSG00000248333
D6RBJ6	ENSG00000153044
E5KRK5	
E5RFU7	ENSG00000226807
F1T0F3	ENSG00000213967
H0YL93	ENSG00000248905; ENSG00000282513
K7EMY5	ENSG00000160439; ENSG00000276684
Q152R5	
Q1HB44	
Q6IRT1	
Q76L82	ENSG00000171456
Q9T9Y1	
V9HW87	
V9HWP2	
X6R9C8	ENSG00000188312
A0A024RD56	
A0A090CXP3	
A0A0C4DFY4	ENSG00000196967
B0QYV1	ENSG00000100320; ENSG00000277564
B4DP62	ENSG00000100075
B8YG18	ENSG00000168685
D3DX49	ENSG00000108852
E5RG71	ENSG00000184672
E7ENB6	ENSG00000121440
F2Z3H6	ENSG00000106635
H0YH52	ENSG00000157423; ENSG00000283022
Q56FP7	
Q5VXV3	
Q6JHZ5	ENSG00000277005
Q86V93	ENSG00000162086
A0A024R1J9	
A0A024R2Q2	
A0A024RBL4	
A0A0S4T3Y6	
B1AVT0	ENSG00000176444; ENSG00000261893
B2RMP2	
B4DDC6	ENSG00000110958
G3V0E5	ENSG00000072274
H0YIB6	ENSG00000166783; ENSG00000277140
I3Q4M2	
Q0ZCH1	
Q2M3K2	
Q5T7Y6	ENSG00000160678
Q8N6L6	ENSG00000166278
A0A024R1R0	
A0A024R321	
A0A024R5Q5	
A0A024R5X3	
A0A024RC91	
A0A024RDY9	
A0A087X1N6	ENSG00000196072
B1AK87	ENSG00000077549
B4DGG1	ENSG00000269881
B4DY26	ENSG00000106799
E7ERW9	ENSG00000104312
E9PG18	ENSG00000183873
H3BV34	ENSG00000140650
H7C102	ENSG00000176945; ENSG00000278114; ENSG00000277753; ENSG00000275501; ENSG00000276583; ENSG00000274843
J3KN59	ENSG00000140299
L7RXH5	
Q0ZCG7	
Q9NZG9	ENSG00000051180
V9GZ16	ENSG00000182957
V9HW71	
V9HWH2	
A0A024R2X5	ENSG00000041880
A0A024R461	
A0A024R7X0	
A0A0A0MS05	ENSG00000211731; ENSG00000282748
B4DHR0	ENSG00000177548
D6R9X1	ENSG00000117266
G3V0E6	ENSG00000128567
K7EPG7	ENSG00000184635
Q0VGD4	ENSG00000147419
Q5JYA6	
Q6IB63	
Q6ICD8	
A0A024R2X7	
A0A024R462	
A0A024R5T5	
A0A024R624	
A0A024RBB9	
A0A024RC68	
A2TDC0	
B7ZLG2	
B9EKV4	
C9JYH8	ENSG00000196998
H3BNK2	ENSG00000102897
H3BQN8	ENSG00000007376
I3L181	ENSG00000181031; ENSG00000282013; ENSG00000262334
I3L2W0	ENSG00000181031; ENSG00000262334; ENSG00000282013
Q6P2R3	ENSG00000183137
Q86W68	ENSG00000135913
Q8HNR6	
A0A024R5X6	
A0A024RAB1	
A0A087WTH2	ENSG00000089091
B3KPM4	
Q542Y6	
Q5TD07	ENSG00000124588
Q672R2	ENSG00000140332
W8FP57	
A0A024R1Q2	
A0A024R4Q0	
A0A024R7S0	
A0A024RA98	
A0A024RCZ8	
A0A0D5XQ77	ENSG00000233209
A8K660	
B7ZLW4	ENSG00000163817
D3DPV3	
E9PLZ3	ENSG00000023191; ENSG00000276230
H9A7D2	
N0DVX5	ENSG00000204186; ENSG00000283649
Q5T4X2	ENSG00000117408
Q8NE73	ENSG00000197217
A0A024R9N3	
A0A024RA85	
A0A024RAA0	
A0A0U4ERW6	
A7UKX8	ENSG00000135679
A8K058	
B3KT66	
C0MHM2	ENSG00000198964
D3DTX6	ENSG00000108819
E5RFP4	ENSG00000157110
E9PD14	ENSG00000204628
E9PL24	ENSG00000178104
F2Z3I2	ENSG00000213297; ENSG00000257591
F5GXS0	ENSG00000224389; ENSG00000228267
H0YDM5	ENSG00000143554; ENSG00000263163
H7C1Y7	ENSG00000130414; ENSG00000281434
J3KNR6	ENSG00000156471
Q0ZF73	
Q6UXM4	
Q6VHB3	
A0A024R7B2	
A0A024R7B6	
A0A024R9P6	
A0A024RAP4	
A0A024RBC1	
A0A0G2JH91	ENSG00000206449; ENSG00000227772
A0A0G2JJ84	ENSG00000225412; ENSG00000224242; ENSG00000225845
A0A0G2JQ90	ENSG00000279566
A0A126GVP9	
A2ABN6	ENSG00000221988; ENSG00000258388
A4D0T1	
F2Z2E4	ENSG00000105865
F8VU58	ENSG00000011465
M4W6S4	ENSG00000100298
A0A024RBB2	
A0A024RDG0	
A0A087WXQ8	ENSG00000277791; ENSG00000275903
A0A1S6R0I3	
B3KTT3	ENSG00000129197
D6RCD9	ENSG00000127419
E5KPM8	
E9PNV7	ENSG00000181135; ENSG00000274352
F8VRV5	ENSG00000088986
H0Y4K5	ENSG00000206376; ENSG00000236759; ENSG00000238134; ENSG00000204371; ENSG00000224143; ENSG00000232045; ENSG00000227333
J3KQ12	ENSG00000168000
K4DI93	ENSG00000158290
K7EIY9	ENSG00000151062
M0R0P0	ENSG00000090659
Q29VG3	
Q5STV3	
Q5T0G8	
A0A024QYW3	
A0A024R819	
A0A024R8K6	
A0A0J9YYA3	ENSG00000196565; ENSG00000213934
B2WTI4	ENSG00000070495
E0XEN6	
E5FQ58	
F5H0P4	ENSG00000256269; ENSG00000281702
M0QYZ5	ENSG00000213020
Q5TA12	ENSG00000083097
Q9UP10	ENSG00000261832; ENSG00000188603
R4GMP8	ENSG00000188529
X5D2P6	
A0A024R125	
A0A024R7L6	
A0A087X214	ENSG00000149428; ENSG00000280682
A0A0C4DFM0	ENSG00000100577
A0A1U9X797	
B2ZZ89	
B4DWJ3	ENSG00000145088
E5KS55	
F2Z360	ENSG00000102312
I4AY87	
J3KNA0	ENSG00000155463
Q14DU5	ENSG00000134318
Q53FR9	
A0A024R385	
A0A024R5S7	
A0A024R691	
A0A024R967	
A0A024RBD0	
A0A024RDI7	
A0A087WY31	ENSG00000185728
A0A0A0MRS4	ENSG00000095209
A0A0E3SU01	
B0YJ89	
B4DI03	ENSG00000166562
B4DS54	ENSG00000165490
B7Z3Y4	ENSG00000175352
B8ZZ06	ENSG00000161981
F8W7A7	ENSG00000166960
H7C4S7	ENSG00000151276; ENSG00000282956
J3QQH7	ENSG00000149428; ENSG00000280682
Q5SQL3	ENSG00000163349
Q6FGH5	
X5D8S6	
A0A075B7B1	ENSG00000182253
A0A0C4DGV4	ENSG00000134248
A0A140VKG8	
B2ZP78	ENSG00000015475
C9JVZ3	ENSG00000168038
D6RGD6	ENSG00000187533; ENSG00000282868
F5H2Z7	ENSG00000119242; ENSG00000275035
I3L1M7	ENSG00000100207; ENSG00000262024; ENSG00000281897; ENSG00000280467; ENSG00000276461; ENSG00000282892; ENSG00000283026; ENSG00000283681
K4DI81	ENSG00000175063
Q1JUQ3	ENSG00000088832
Q2PPL5	ENSG00000100416
Q71QC9	ENSG00000130844
Q8WU40	ENSG00000148660
A0A024R5S2	
A0A024R6Q6	
A0A024RA77	
B1ALC3	ENSG00000136883
B7ZAE2	ENSG00000258890
C9JCN1	ENSG00000161249
F5H7Q8	ENSG00000204516; ENSG00000231179
G4XH61	
H3BRR4	ENSG00000137817
I3L2G1	ENSG00000073969; ENSG00000278174
Q5U058	
Q6IBP4	
Q6UW50	ENSG00000100284
A0A087WT91	ENSG00000275954; ENSG00000282087
A0A0U4EXB4	
A0N4X2	ENSG00000211849
B2RGG0	
B4DZQ4	ENSG00000163374
B7ZLF3	
B7ZLT2	ENSG00000186118
D3DWY2	
D3Y2A0	
D9YZU7	
E5KMT6	
E9PM66	ENSG00000104529; ENSG00000273594
H0YKV4	ENSG00000166797
K9M4G7	
Q53G01	
Q5PY61	ENSG00000150991
Q6PKC6	ENSG00000178252
A0A024R3M1	
A0A024R9U8	
A0A126GVS9	
B4DQK9	ENSG00000163719
G3V2N6	ENSG00000258947
H7C148	ENSG00000088038; ENSG00000277600
J3KSR5	ENSG00000126858
Q5FBZ7	ENSG00000064933
A0A024R0B8	
A0A024R0H2	
A0A024R2F8	
A0A024R5Z3	
A0A0C4DG91	ENSG00000172113
B0YJ88	
B4E0H5	ENSG00000143756
B7Z683	ENSG00000159842; ENSG00000278741; ENSG00000276016
E7ENJ0	ENSG00000183305; ENSG00000268606
E9PKT8	ENSG00000205531; ENSG00000273562
F5H7T0	ENSG00000136643
J3QKW9	ENSG00000105655
K7EPW0	ENSG00000154839; ENSG00000262634
Q1HBJ4	
V9HWA4	
X5DR28	
A0A024R0R6	
A0A024R8V6	
A0A024RCF5	
A0A087WU38	ENSG00000144596
A0A1U9X8V3	
A2AB90	ENSG00000206208; ENSG00000231925
B4DNJ1	ENSG00000104368
B4DPZ9	ENSG00000087470
H3BRV3	ENSG00000140400
Q8IZS4	ENSG00000181355
Q96AD8	ENSG00000160767; ENSG00000262666
A0A024R179	
A0A024R4I8	
A0A024R9W7	
A0A024RCG4	
A0A024RCV8	ENSG00000266442; ENSG00000254405; ENSG00000255152; ENSG00000266027
A0A0K0K1K4	
A6YYH9	
B7ZB24	ENSG00000107186
F8VWS7	ENSG00000134115
G5E9R3	ENSG00000197756
H0YCP7	ENSG00000104522; ENSG00000278243
J3KPS3	ENSG00000149925
M0QYQ4	ENSG00000104960
Q5T1S4	ENSG00000136933
Q6I9V6	
Q6IAL5	
Q8WVF3	ENSG00000157869
A0A024R688	
A0A024R9H1	
B4DK34	ENSG00000139977
D6W633	
F2Z2Y9	ENSG00000196209
F5H7S1	ENSG00000102935
F8VRS5	ENSG00000166783; ENSG00000277140
H3BMI3	ENSG00000085491; ENSG00000284468
I3L2G7	ENSG00000007038; ENSG00000282838
Q16577	
Q6AHZ8	ENSG00000100024
U6BGT8	
A0A024R158	
A0A024R648	
A0A024R7X1	
A0A024RB51	
A9UJP9	ENSG00000100060
D6RDM5	ENSG00000164211
E9PLX6	ENSG00000099834; ENSG00000273572
K7EQY5	ENSG00000007264
Q6IAW1	
Q6IBB7	
Q6ICS7	
Q6IEG3	
A0A024QZJ8	
A0A024R9X9	
A0A024RBV3	
A0A087X143	ENSG00000275591
A0A0B7MH39	
A0A141MJG8	
B7ZAZ8	ENSG00000119689
C9J0K3	ENSG00000163607
C9JNI4	ENSG00000061273
D6RD60	ENSG00000169567
H0YKR2	ENSG00000183324
J3KS72	ENSG00000108395
K4Q1X7	
M0QXR6	ENSG00000187187; ENSG00000281526
Q5JYB6	ENSG00000197183
Q5QHG3	
Q5QPV1	ENSG00000124232
Q6FHN3	
Q7M4M2	ENSG00000275824; ENSG00000277943; ENSG00000275302
A0A024R2X4	
A0A024R5L2	
A0A024R7L2	
A0A024RDE1	
A0A087X174	ENSG00000165949; ENSG00000275214
A0A0J9YXG5	ENSG00000281958; ENSG00000282273
A0A1W2PS02	ENSG00000132963
A2AB27	ENSG00000232143; ENSG00000226882; ENSG00000204590; ENSG00000229470; ENSG00000228581; ENSG00000235986; ENSG00000206492
A4D125	
B4DGU6	ENSG00000082482
C9J0B9	ENSG00000169251
E9PFP1	ENSG00000105647
F2Z397	ENSG00000198792
F2Z3F0	ENSG00000004766
F5GXV1	ENSG00000198000
F6M2K2	ENSG00000198646
Q08AM3	ENSG00000149451
Q5J8M5	ENSG00000095059
Q5XG75	ENSG00000223802
Q709A8	ENSG00000112561
Q9NZ03	
A0A0K0K1I0	
A8IE48	
C4P0D4	ENSG00000270106
C9JUT4	ENSG00000145012
E9PN70	ENSG00000196655; ENSG00000280495
J3QS31	ENSG00000214941
K7EMP2	ENSG00000225190; ENSG00000277111; ENSG00000276358
L0EQU5	
Q1MSW9	
Q6PJ72	ENSG00000123384
Q9BXZ3	
A0A024R084	
A0A024R0M4	
A0A075BPH5	
A1DT97	
A4D2D6	
B4DXD3	
B5A964	ENSG00000160867
D7RIH8	
E5KSL6	
E5RH00	ENSG00000145907
F2Z2P8	ENSG00000104970; ENSG00000275918
H3BNA8	ENSG00000102897
I3L270	ENSG00000169592
Q6ICR7	
A0A024QZR6	
A0A024R4U8	
A0A087WXT7	ENSG00000160336
A0RZB6	ENSG00000120725
B4DX81	
B7Z278	ENSG00000091428
B7Z509	ENSG00000115419
I3L1V5	ENSG00000185829; ENSG00000228696; ENSG00000275748; ENSG00000276276
J3KPF3	ENSG00000168003
Q5VVD0	
Q5Y7B2	
R9WNI0	ENSG00000102081
A0A024R3M3	
A0A024R499	
A0A024R5H1	
A0A024R6B2	
A0A087X069	ENSG00000278053; ENSG00000277594
A0A126GWD2	
A0PJM9	
A8MVW4	ENSG00000100528
B4DDB6	
B4DFL6	ENSG00000137210
B4DQI1	ENSG00000166278; ENSG00000204364; ENSG00000235696; ENSG00000226560; ENSG00000235017; ENSG00000206372; ENSG00000231543
B7Z4T2	ENSG00000155893
C9J1V9	ENSG00000265818
C9JBG0	ENSG00000109113
E7ESA6	ENSG00000169398
I3L464	ENSG00000072864; ENSG00000275911
K7EJ44	ENSG00000108518
Q53Y49	
Q9NW36	ENSG00000119969
A0A024RC04	
A0A0M5MPK6	
A8K382	ENSG00000165195
B4DXM2	ENSG00000080224
D6REJ5	ENSG00000134986
E5KS95	
F8VSA6	ENSG00000129559
G3V1K8	ENSG00000105497
I3L208	ENSG00000204237
Q2Q9B7	
Q9HBM8	
A0A024QZL5	
A0A087WTB8	ENSG00000118939
A0A0A0MSJ3	ENSG00000154710
A0A1W6IYJ7	
A2ABL0	ENSG00000204580; ENSG00000137332; ENSG00000215522; ENSG00000230456; ENSG00000234078; ENSG00000223680
A4D2N2	
A5PKX1	
D2XT26	
E5RJ36	ENSG00000215114
E9PCV4	ENSG00000063176
F2Z2B0	ENSG00000132286; ENSG00000283977
G3V179	ENSG00000197798
J3KS96	ENSG00000177302; ENSG00000284238
K9M1A9	ENSG00000272395
Q6P090	ENSG00000113240
Q6P4H7	ENSG00000172775
Q6Y2L2	ENSG00000136932
A0A024R4U0	
A0A024R834	
A0A024R9L4	
A0A024RC21	
A0A0K0K1D8	ENSG00000211706; ENSG00000281970
A0A140HM92	
B7Z1I7	ENSG00000123572
E2JFC4	
E5KR06	
E5KSE7	
E9PLH8	ENSG00000137692
E9PN56	ENSG00000104529; ENSG00000273594
F5H6A5	ENSG00000181666
H3BVI4	ENSG00000103227
K4PZ75	
Q6FGF7	
X5DR89	
A0A024QYX8	
A0A024R1E4	
A0A060CZ20	
A0A075B7E0	ENSG00000271255; ENSG00000270783
A0A075B7F2	ENSG00000270647; ENSG00000276833
A0A0A0MST9	ENSG00000075413
A6NK88	ENSG00000129757; ENSG00000273707
B1AKB4	ENSG00000112561
I6VE32	
J3KQU2	ENSG00000173988
A0A024R1C1	
A0A024R6G4	
A0A024R8S1	
A0A1U9X8J0	
H7C1J4	ENSG00000065060
Q8WZ67	ENSG00000213809
X5DNR2	
A0A024R2D8	
A0A024R5X2	
A0A024RAA3	
A0A024RAP2	
D6RA17	ENSG00000123737
E5KTI5	
H0Y5R0	ENSG00000227147; ENSG00000235905; ENSG00000235259; ENSG00000233599; ENSG00000137384; ENSG00000204610; ENSG00000224145; ENSG00000235960
K7EQE4	ENSG00000118894
Q2M2Z8	
Q5JTV1	ENSG00000101216
Q6DU50	
Q96NX8	ENSG00000124222
A0A0D9SFE5	ENSG00000113368
B1ANB7	ENSG00000055732
B2R9N9	
B5MDT7	
D3DQT1	
G5E9X5	ENSG00000078070
J3KN19	ENSG00000137500
Q4V771	ENSG00000266733
Q53XK0	
Q5KS07	ENSG00000173276
Q6FI39	
A0A024R4I9	
A0A024R4S5	
A0A024R9N0	
A0A0G2JL65	ENSG00000230514; ENSG00000231268
A0N071	
B2CML4	
B4DF77	ENSG00000175115
B7ZAG0	ENSG00000121440
F2Z3Q4	ENSG00000075303
F6S2B7	ENSG00000225073; ENSG00000230624; ENSG00000198563; ENSG00000225859; ENSG00000235439; ENSG00000229496; ENSG00000215425
F8W1M3	ENSG00000065357
G3V0G2	ENSG00000186654
G3XAG5	ENSG00000073464
Q5VUU6	
Q6FHV6	
Q86SY2	ENSG00000119599
V9GYK6	ENSG00000088836
A0A024QZZ1	
A0A024R464	
A0A024R5B3	
A0A024R912	
A0A024RBJ2	
A0A075MGT0	
A0A087X2F1	ENSG00000197062
A0A0U5PUH9	
A2AB07	ENSG00000231135; ENSG00000228575; ENSG00000224587; ENSG00000137337; ENSG00000206481; ENSG00000234012; ENSG00000225589; ENSG00000237095
A6NGS0	ENSG00000160087
D6RCL9	ENSG00000172058; ENSG00000205572; ENSG00000278839; ENSG00000275581; ENSG00000277429
H0YJ41	ENSG00000011114; ENSG00000277222
K7EK61	ENSG00000186567
O76104	ENSG00000105650
Q5Y7C6	
Q6IAK0	ENSG00000198843
Q6NUK7	
A0A024R689	
A0A1C3PI51	
B2RDF2	
B5BU33	
D3DQ79	
E9L5Q4	
I3L2I9	ENSG00000181031; ENSG00000262334
M0R0J7	ENSG00000105750; ENSG00000278091
M0R2U2	ENSG00000105202; ENSG00000280548
Q5VZ79	
Q6NSJ8	ENSG00000100368
Q9H024	
A0A024R4D3	
A0A024RBT9	
A0A087X2C8	ENSG00000276234; ENSG00000277104
A0A0D9SFK0	ENSG00000273079
B5B2S1	
H0YA26	ENSG00000157881; ENSG00000273494
M0R2I1	ENSG00000170954
Q5TAH7	ENSG00000121904
Q7LDD5	
V9HWI2	
A0A024R1W6	
A0A024R2P0	
A0A024RC85	
A0A087WT25	ENSG00000112041
A0A097CK82	
A0A0A6YYD5	ENSG00000274752; ENSG00000282208
A0A126GWK9	
B4E2D5	ENSG00000102710
B4E3H0	ENSG00000214087
D3DWI5	ENSG00000234616
F2YGU2	
Q66SS1	
Q6IFM9	
Q7YNW6	
A0A024R0V3	
A0A024R1L9	
A0A024R2G0	
A0A024R572	
A0A087WY10	ENSG00000277791; ENSG00000275903
A0A0G2JIS2	ENSG00000232045; ENSG00000238134
A0A1U9X8T7	
B7Z3A9	ENSG00000196517
D3DRJ2	
F6S6P2	ENSG00000229524; ENSG00000233348; ENSG00000096155; ENSG00000204463; ENSG00000234651; ENSG00000228760; ENSG00000227761
F8W9C3	ENSG00000183117
M4QFU4	
Q49AF1	ENSG00000110429
Q5JNW1	
Q96HV7	ENSG00000127054
V9GYK9	ENSG00000118518
V9HWE3	
A0A024R6T1	
A0A024RC37	
A0A087X216	ENSG00000148541
A0A0C4DFM4	ENSG00000115841
A0A0G2JK11	ENSG00000231225; ENSG00000233051
A8MTS1	ENSG00000185917
B2R4R0	
B4DXQ6	ENSG00000080224
B4E3F4	ENSG00000161638
C9JLA2	ENSG00000154640; ENSG00000281484
E5RHY8	ENSG00000161010
E9KL26	
F2Z3A1	ENSG00000009413
H3BV40	ENSG00000184517
Q5Y7G1	
Q8N6Z2	ENSG00000120662
A0A024R491	
A0A024R5W0	
A0A024R886	
A0A0A0MRI2	ENSG00000129515
B0QYX1	ENSG00000186951
B6VEX4	ENSG00000136754
F8VPA1	ENSG00000062485
G5E9W3	ENSG00000119203
G5EA35	ENSG00000255501
J3KN18	ENSG00000137449; ENSG00000283087
Q5JVZ5	ENSG00000062598
S6B6U4	
A0A024R644	ENSG00000102805
A0A1N7SYK7	
A0A1V0E419	
A6YT98	ENSG00000216937
B4DZV2	ENSG00000112812
B7ZAF6	
C9J6J8	ENSG00000161011
C9J931	ENSG00000106615
D3DVJ3	
E9PLW0	ENSG00000169224
E9PNC4	ENSG00000183020; ENSG00000281385
H0Y642	ENSG00000166160; ENSG00000268221
I3L442	ENSG00000262246; ENSG00000282725
A0A024R3H5	
A0A024R455	
A0A024R470	
A0A024R4I5	
A0A0G2JL23	ENSG00000230514; ENSG00000231268
A0A141MJH1	
B0YIZ6	ENSG00000107611
B2R9U8	
B5BNW5	ENSG00000197584
E7EST5	ENSG00000189013; ENSG00000273575; ENSG00000274232; ENSG00000275237; ENSG00000275699; ENSG00000276044; ENSG00000284365; ENSG00000284013; ENSG00000283961
F2Z3Q0	ENSG00000114786
A0A024R1A3	
A0A024R542	
A0A024R7A5	
A0A0B4J278	ENSG00000197249; ENSG00000277377
B7Z3M0	ENSG00000132000
B8ZZ10	ENSG00000007392
E9PIP3	ENSG00000233490; ENSG00000237052; ENSG00000234508; ENSG00000236697; ENSG00000213654; ENSG00000206314
F1T0B5	ENSG00000129221
F1T0K3	ENSG00000132915
G3V1X5	ENSG00000015153
H3BRY7	ENSG00000089486; ENSG00000274336
Q5TB13	ENSG00000159208
Q96DW9	
Q9BR81	ENSG00000240184
A0A024R528	
A0A024RDG6	
A0A0G2JNH0	ENSG00000274513; ENSG00000276146
A0A576	ENSG00000237702; ENSG00000282624
A6NFS0	ENSG00000063587
B2R5R8	
C9JZS0	ENSG00000155749
F2Z2Q9	ENSG00000143727
J3KT17	ENSG00000171916; ENSG00000284021
M0R1H0	ENSG00000105202; ENSG00000280548
Q5T6L4	
Q5TYM6	ENSG00000196550
Q5XKG2	ENSG00000125675
Q6P7P1	ENSG00000149311
Q8TC24	ENSG00000065665
A0A024RAA1	
A0A087WSV6	ENSG00000104972
A0A090KMD4	
A0A0C4DGS8	ENSG00000275410; ENSG00000276194
B3KVY5	ENSG00000110906
C9JHT8	ENSG00000119231
F2Z3B9	ENSG00000167613; ENSG00000276053
H3BVE9	ENSG00000205336
Q498B9	ENSG00000171456
Q53YE2	
Q5U0J5	
S4R3M9	ENSG00000204219; ENSG00000282941
A0A024RDD7	
A2AE50	ENSG00000137313; ENSG00000226060; ENSG00000231002; ENSG00000234127; ENSG00000230230; ENSG00000228881; ENSG00000231641; ENSG00000234046
B2R5W2	ENSG00000092199
F2Z2W4	ENSG00000100325
F8VPL7	ENSG00000166986
G5E9C8	ENSG00000115904
H0Y8A0	ENSG00000204655
H0YGN9	ENSG00000123106
H0YN03	ENSG00000100897
H3BMS9	ENSG00000172717
J3KTL2	ENSG00000136450
K7EQT5	ENSG00000129667
Q5SRQ3	ENSG00000263020; ENSG00000206406; ENSG00000228875; ENSG00000224398; ENSG00000224774; ENSG00000258589; ENSG00000258543
Q5Y7D0	
Q96QB5	
Q96T34	ENSG00000068078
Q9GZQ5	ENSG00000133895
A0A024QYY6	
A0A024RD62	
A0A0A0MRV4	ENSG00000157870; ENSG00000275125
A0A126GVU1	
D3DVF0	
D6R9A9	ENSG00000111863
D6RHZ6	ENSG00000196616
E7EQG8	ENSG00000145113
E9PMQ7	ENSG00000137500
E9PNL5	ENSG00000164733
Q6FH48	
Q9Y346	
A0A024R516	
A0A024R684	
A0A024R9E9	
A0A0C4DGC2	ENSG00000168621
A0A0G2JNP3	ENSG00000277414; ENSG00000273991
A0A0S4T3I7	
A2RUF7	
D3DQ64	ENSG00000162433
F5GYL3	ENSG00000089737; ENSG00000273761
F8WFE5	ENSG00000197953; ENSG00000261846
G3XAN3	ENSG00000178460
K7EK05	ENSG00000167380
K7EQA6	ENSG00000141376
K7ER67	ENSG00000108679
K7ERB6	ENSG00000131470
Q4KN30	ENSG00000150045
Q8N5B3	ENSG00000107736
A0A024R1L8	
A0A024RBY0	
A0A024RD59	
A0A0B4J1Z0	ENSG00000082438
A0A217FLJ2	ENSG00000275990
B2ZZ90	
B7ZME0	ENSG00000204193
E9KL48	
G5E9Y3	ENSG00000120318
G8JLN4	ENSG00000189068; ENSG00000275330; ENSG00000276066; ENSG00000275962; ENSG00000274953; ENSG00000274887; ENSG00000276159; ENSG00000277607; ENSG00000276363; ENSG00000275577
H0YKB8	ENSG00000185880; ENSG00000278211
J3KTA1	ENSG00000108306
M1S623	ENSG00000204531
Q549C5	
Q5BJH6	
Q5U0N1	
A0A024R3M7	
A0A0S4XRF8	
B4DML3	ENSG00000137274
B5MDQ0	ENSG00000186871
F2Z2Z7	ENSG00000078070
Q0P5T2	ENSG00000237100; ENSG00000206487; ENSG00000224120; ENSG00000204564; ENSG00000233641; ENSG00000237012
Q6H2H3	ENSG00000125498; ENSG00000277833; ENSG00000276310; ENSG00000274926; ENSG00000275750; ENSG00000273510; ENSG00000278821; ENSG00000276625; ENSG00000275276; ENSG00000274692; ENSG00000278503; ENSG00000277356; ENSG00000278755; ENSG00000278248; ENSG00000284401; ENSG00000283723; ENSG00000284145; ENSG00000284347
Q70Q10	
Q7Y6Z2	
A0A024R5R9	
A0A024R896	
A0A024R9E0	
A0A024RDL6	
A0A0G2JJF5	ENSG00000231268; ENSG00000230514
B2KM00	
B4E1B9	ENSG00000135048
C5IYE8	
D3DXE8	
E9PIB2	ENSG00000104518; ENSG00000278718
F5GWW2	ENSG00000134333
G5E9H3	ENSG00000115282
H0YF50	ENSG00000144741; ENSG00000282739
H0YLI5	ENSG00000128891
I3L1D2	ENSG00000129255
Q4VXR9	ENSG00000125975
Q6IAM1	
Q6ZWE5	ENSG00000163053
A0A024R3C6	
A0A0A0MTC7	ENSG00000112769
A0A0D9SFN2	ENSG00000099999
B2RNG4	ENSG00000258588
B4DJ81	ENSG00000023228; ENSG00000283447
B7ZAR1	ENSG00000150753
D3VVH9	ENSG00000066427
E9PSE3	ENSG00000185507; ENSG00000276561
I3L0M3	ENSG00000103495
I3L2Y2	ENSG00000174939
K7EKM5	ENSG00000124731
K7EM20	ENSG00000108953; ENSG00000274474
M0QXW3	ENSG00000105516
M0R0B2	ENSG00000077463
Q5KU17	
V9GY14	ENSG00000130699; ENSG00000280529
A0A024R153	
A0A024R8U9	
A0A024RAR2	
A0A0C4DFM1	ENSG00000101337
A0A589	ENSG00000282543
B7ZKJ8	ENSG00000055955
D6R9P6	ENSG00000157796
F1D8N3	
M0QY36	ENSG00000142303
Q6PJ80	ENSG00000144224
Q708E1	ENSG00000118513
Q8IXW7	ENSG00000102081
A0A024R589	
A0A024R9H3	
A0A024RC69	
A0A024RCM2	
A0A0U1SZ86	
A0AVL1	ENSG00000168615
A8MS87	ENSG00000204305; ENSG00000230514; ENSG00000229058; ENSG00000206320; ENSG00000237405; ENSG00000231268; ENSG00000234729
B1APM2	ENSG00000143248
B4E2W1	
B4E3L3	ENSG00000048028
E9PPS9	ENSG00000135373
F5H345	ENSG00000256269; ENSG00000281702
H0YMQ2	ENSG00000229474
Q5T8T8	ENSG00000148297
X5DQS5	ENSG00000182985
A0A024RA66	
A0A024RBF8	
A0A024RBV0	
A0A024RDA1	
A0A087WVD1	ENSG00000275183; ENSG00000278312
A0AUL5	
A2A2L3	ENSG00000149451
A4D1Q0	
A4FTV9	
A6NDA1	ENSG00000213397
B3KUS5	ENSG00000135093
D9IDM5	ENSG00000104972
E9PB39	ENSG00000104728; ENSG00000274726
F2Z366	ENSG00000055917
H0YF91	ENSG00000157423; ENSG00000283022
L0R6P0	ENSG00000255154
Q6GQY8	ENSG00000077157
Q6ZW95	ENSG00000082482
